epoch,acc,loss,lr,val_acc,val_loss
0,0.6756271928761872,1.225955054116368,1.0,0.48670014880952384,3.1202875773111978
1,0.8560160392571085,0.46138074941097623,1.0,0.6524941724552697,1.3953181167415805
2,0.9098583375023604,0.2931467278395155,1.0,0.8648951046950334,0.46106759285871246
3,0.9392724299083663,0.1862925665589334,1.0,0.8629370627092037,0.4663671682514511
4,0.9533331574784721,0.14033332755848862,1.0,0.8697435894879428,0.49238378866569144
5,0.9637533964734537,0.1159026934797587,1.0,0.8494172496673388,0.52582749815115
6,0.9745429603952298,0.08151173105155148,1.0,0.6742191141802114,1.8709667565272405
7,0.9776822222729833,0.07557659801618052,1.0,0.8478321677988225,0.5959579205457425
8,0.982747249840451,0.05538259928283769,1.0,0.8913752915420177,0.3868277269865805
9,0.9871527686179333,0.04093949130300223,1.0,0.9072261073094704,0.35875616039151637
10,0.9872319096846818,0.04130360327198558,1.0,0.7764102564324866,0.9767511309221352
11,0.9911362017569314,0.029291825685370518,1.0,0.9386480188703203,0.2192842826365313
12,0.9898963252279851,0.032130878449640465,1.0,0.9683916084193961,0.1173578176062146
13,0.9935895744770616,0.020915596120858068,1.0,0.9560839161672792,0.17864871345894598
14,0.9931938692062152,0.021914808186031583,1.0,0.961025641220155,0.15500521891461663
15,0.9932993906138707,0.023132597487249336,1.0,0.9614918416585678,0.1520756739252931
16,0.9961858164983165,0.013083895598518622,1.0,0.945268065490367,0.2445022718986987
17,0.9954230382559924,0.016262461924816046,1.0,0.9705361306472814,0.11857541956476399
18,0.9957263829899491,0.01347563744816171,1.0,0.9567365967921722,0.16466619188482667
19,0.9990503073421065,0.004143345785044053,0.31622776,0.9767832168665799,0.09149250996036408
20,0.9995779143693777,0.002644495916253522,0.31622776,0.9793939394217271,0.08650878895968546
21,0.9997889571846889,0.0028239097491716595,0.31622776,0.9809790210623841,0.07502689478836415
22,0.9997889571956956,0.0015855969027112795,0.31622776,0.9813519813519813,0.08703093304596776
23,0.9998680982325686,0.0015316004789038928,0.31622776,0.9807925408203285,0.09085088992799635
24,0.9997361964918678,0.001804081098345528,0.31622776,0.9821911422467177,0.07748243475050637
25,0.9997625768437817,0.001365349484833068,0.31622776,0.9788344988344988,0.09556906298584454
26,0.9998944785923444,0.0011894572508250705,0.31622776,0.9807925408203285,0.08088484509268423
27,0.9998153375366028,0.0015916848319225971,0.31622776,0.9806060606338484,0.0855672519026207
28,0.9999472392961722,0.0006259362214621858,0.1,0.9801398601676479,0.09049984991480976
29,0.9998680982514373,0.0014643299227017094,0.1,0.9820979021256898,0.08285159987551627
30,0.9998680982514373,0.0004906631629789433,0.1,0.9797668997668998,0.08010669592204059
31,0.9998153375366028,0.0017520534743454012,0.1,0.9822843822843823,0.08316293672647648
