epoch;acc;loss;val_acc;val_loss
0;0.97464783464617999;0.10280750496218903;0.97368669864677249;0.10473284027760937
0;0.13984224549575147;3.2884648757076875;0.2230282738095238;3.025079900310153
1;0.277494921779898;2.6233166412415705;0.35589743599191415;2.2371036717385957
2;0.4694119819652736;1.8032520781228287;0.4324475523753044;1.9900752804496071
3;0.6152425673342758;1.2780860390059223;0.6154778553278019;1.2226983856543516
4;0.7146201599326599;0.9221938699985595;0.5956177156899637;1.3531324556768636
5;0.7720778877015807;0.7275691004293079;0.8082051282273583;0.6129324423516547
6;0.8116179069970306;0.5870961080023402;0.8151981351925777;0.5778621486850551
7;0.8457540823736102;0.48609372342677226;0.8380419578418865;0.5071438736265356
8;0.8717651093465587;0.4044583682425354;0.8492307690584854;0.473769942169145
9;0.8869865724150273;0.3528023592923906;0.8641491843992736;0.43074274815879504
10;0.9021552747623719;0.30224598613120135;0.8559440557995598;0.4511902797361076
11;0.9165325665554445;0.2587246887725285;0.8830769228212761;0.36370128929198203
12;0.9257656897064388;0.23261003915883754;0.86694638669074;0.4605673004780616
13;0.9306988155332058;0.2138054216811311;0.8718881118269789;0.438421074015833
14;0.9402748832669428;0.18658669929057425;0.8817715619938635;0.4031379180910426
15;0.9437834700636288;0.16994566285608942;0.9152447555226324;0.27562913839077896
16;0.9506159812171895;0.15232125349913012;0.9319347321570336;0.22714314316536163
17;0.9572374495585837;0.13622177956988402;0.925594405844495;0.24078866458439327
18;0.9587147492657618;0.1312597659998896;0.9288578090523228;0.2381826369940262
19;0.9642546231488109;0.11367187743453376;0.9145920747032255;0.2962057563155403
20;0.965230696177487;0.10803139402021313;0.9206526808471946;0.28773094958219775
21;0.9671564618672013;0.10306942875623547;0.9289510490899875;0.25189629717167716
22;0.9693460310760545;0.09802714301092942;0.9381818183207568;0.22227348563554403
23;0.9685810008705517;0.09731100948749212;0.9349184151407166;0.22322714065616225
24;0.9730392803439998;0.08479896250461744;0.9286713284156817;0.2757221053030107
25;0.9729601392882581;0.08582208958375638;0.934079254273768;0.24408856792188746
26;0.9763104439923295;0.07753760478642753;0.9456410258911151;0.1986706794002951
27;0.9771018545497463;0.07541773544890427;0.9296969698359082;0.27188623702470516
28;0.9779196454480703;0.07282582587305096;0.9292307693697078;0.29371198732814036
29;0.9801883557126652;0.06387241539172725;0.9471328672995935;0.19337744617239858
